story_id,factuality,bias,NL_grammar_mechanics_check,FOL,proof_correctness,Corrected Premises - NL,Premises - NL,Conclusions - NL,Corrected Conclusions - NL,Truth Value,"Premises 
used",Derivation,Derivation - Corrected,"Derivation 
index",Inference rule,Premises - FOL - corrected - optimized,Premises - FOL - corrected,Premises - FOL,Corrected Conclusions - FOL  - optimized,Corrected Conclusion - FOL ,Conclusion - FOL,comment on FOL,comment on Bias
,,,,,,,,,,,"2, 3","If someone reapplies to Spanish passports and visas, then they party hard on the weekends.","If someone has visited Ibiza, they have been to Eruope.",D2,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,"D1, 1","If someone reapplies to Spanish passports and visas, then they do not study in the library on weekend evenings.","If someone has visited Ibiza, then they have left the United States.",D3,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,"D2, D3","If someone travels frequently to Spain, then they do not study in the library on weekend evenings.","If someone has partied at the EC10 nightclub, then they have left the United States.",D4,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D3,No one both applies to Spanish passports and visas and studies in the library on weekend evenings.,No one both has visited Ibiza and never left the United States.,D5,IMPAND1,,,,,,,,
,,,,,,,,,,,D4,No one both travels frequently to Spain and studies in the library on weekend evenings.,No one both has partied at the EC10 nightclub and has never left the United States.,D6,IMPAND1,,,,,,,,
,,,,,,,,,,,D5,Kate does not apply to Spanish passports and visas or she does not study in the library on weekend evenings.,Kate has not visited Ibiza or has left the United States.,D7,universal instantiation,,,,,,,,
,,,,,,,,,,,D6,Kate does not travel frequently to Spain or does not study in the library on weekend evenings.,Kate has not partied at the EC10 nightclub or has left the United States.,D8,universal instantiation,,,,,,,,
,,,,,,,,,,,4,"If someone does not reapply to Spanish passports and visas, then they do not travel frequently to Spain. ","If someone has not visited Ibiza, they have not partied at the EC10 nightclub.",D9,transposition,,,,,,,,
,,,,,,,,,,,"D1, D7","Kate neither travels to Spain nor studies in the library on weekend evenings, or she either reapplies to Spanish passports and visas and studies in the library on weekend evenings or neither reapplies to Spanish passports and visas nor studies in the library on weekend evenings","Kate neither has partied at the EC10 nightclub nor has never left the United States, or Kate either has visited Ibiza and has never left the United States or neither has visited Ibiza nor has never left the United States.",D10,disjunctive syllogism,,,,,,,,
,,,,,,,,,,,"D10, D8","Kate neither travels to Spain nor studies in the library on weekend evenings, or she neither reapplies to Spanish passports and visas nor studies in the library on weekend evenings","Kate neither has partied at the EC10 nightclub nor has never left the United States, or Kate neither has visited Ibiza nor has never left the United States.",D11,disjunctive syllogism,,,,,,,,
,,,,,,,,,,,"D11, D9","Kate neither travels to Spain nor studies in the library on weekend evenings, or she neither travels to Spain nor studies in the library on weekend evenings","Kate neither has partied at the EC10 nightclub nor has never left the United States, or Kate neither has partied at the EC10 nightclub nor has never left the United States.",D12,universal instantiation,,,,,,,,
,,,,,,,,,,,D12,Kate neither travels to Spain nor studies in the library on weekend evenings.,Kate neither has partied at the EC10 nightclub nor has never left the United States.,D13,idempotent,,,,,,,,
,,,,,,,,,,,D13,Kate does not study in the library on weekend evenings.,Kate has left the United States before.,D14,conjunction elimination,,,,,,,,
331,,,UNKNOWN,,,,"If someone studies in libraries on weekend evenings, then they do not party hard on the weekends.
If someone goes to Ibiza to vacation, then they party hard on the weekends.
Everyone who reapplies for new Spanish visas at least a few times a year goes to Ibiza to vacation.
Everyone who frequently travels to Spain applies for new Spanish visas a few times a year.
If Kate frequently travels to Spain or studies in libraries on weekend evenings, then Kate does not either reapply for new Spanish visas a few times a year or study in libraries on weekend evenings.","If Kate does not frequently travel to Spain nor parties hard on the weekends, then Kate frequently travels to Spain.","If Kate has not both taken a selfie at the Basilica Familia Sagrada and been to Europe, then Kate has taken a selfie at the Basilica Familia Sagrada.",F,,,,,,,,"∀x (LibraryStudyOnWeekendEvening(x) → ¬PartyHardOnWeekend(x))
∀x (GoToIbizaVacation(x) → PartyHardOnWeekend(x))
∀x (ReapplySpanishPassport(x) → GoToIbizaVacation(x))
∀x (FrequentlyTravelsToSpain(x) → ReapplySpanishPassport(x))
FrequentlyTravelsToSpain(kate) ⊕ LibraryStudyOnWeekendEvening(kate) → ¬(ReapplySpanishPassport(kate) ⊕ LibraryStudyOnWeekendEvening(kate))","¬(TakenSelfieAt(kate, basilicaSagradaFamilia) ∧ BeenTo(kate, europe)) → TakenSelfieAt(kate, basilicaSagradaFamilia)",¬(HasPartiedAtEC10(kate) ∧ BeenToEurope(kate)) → HasPartiedAtEC10(kate),¬(FrequentlyTravelsToSpain(kate) ∧ PartyHardOnWeekend(kate)) → FrequentlyTravelsToSpain(kate),,
,,,,,,,,,,,5,"Kate either frequently travels to Spain and studies in the library on weekend evenings or neither travels to Spain nor studies in the library on weekend evenings, or she either reapplies to Spanish passports and visas and studies in the library on weekend evenings or neither reapplies to Spanish passports and visas nor studies in the library on weekend evenings","Kate either has partied at the EC10 nightclub and never left the Unived States, or neither partied at the EC10 nightclub nor never left the United States, or Kate either has visited Ibiza and never left the United States or neither has visited Ibiza nor has never has left the United States.",D1,material implication,,,,,,,,
,,,,,,,,,,,"3, 4","If someone frequently travels to Spain, then they reapply for Spanish passports and visas. ","If someone has partied at the EC10 nightclub, they have visited Ibiza.",D1,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,"2, 3","If someone reapplies to Spanish passports and visas, then they party hard on the weekends.","If someone has visited Ibiza, they have been to Eruope.",D2,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,"D1, 1","If someone reapplies to Spanish passports and visas, then they do not study in the library on weekend evenings.","If someone has visited Ibiza, then they have left the United States.",D3,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,"D2, D3","If someone travels frequently to Spain, then they do not study in the library on weekend evenings.","If someone has partied at the EC10 nightclub, then they have left the United States.",D4,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D3,No one both applies to Spanish passports and visas and studies in the library on weekend evenings.,No one both has visited Ibiza and never left the United States.,D5,IMPAND1,,,,,,,,
,,,,,,,,,,,D4,No one both travels frequently to Spain and studies in the library on weekend evenings.,No one both has partied at the EC10 nightclub and has never left the United States.,D6,IMPAND1,,,,,,,,
,,,,,,,,,,,D5,Kate does not apply to Spanish passports and visas or she does not study in the library on weekend evenings.,Kate has not visited Ibiza or has left the United States.,D7,universal instantiation,,,,,,,,
,,,,,,,,,,,D6,Kate does not travel frequently to Spain or does not study in the library on weekend evenings.,Kate has not partied at the EC10 nightclub or has left the United States.,D8,universal instantiation,,,,,,,,
,,,,,,,,,,,4,"If someone does not reapply to Spanish passports and visas, then they do not travel frequently to Spain. ","If someone has not visited Ibiza, they have not partied at the EC10 nightclub.",D9,transposition,,,,,,,,
,,,,,,,,,,,"D1, D7","Kate neither travels to Spain nor studies in the library on weekend evenings, or she either reapplies to Spanish passports and visas and studies in the library on weekend evenings or neither reapplies to Spanish passports and visas nor studies in the library on weekend evenings","Kate neither has partied at the EC10 nightclub nor has never left the United States, or Kate either has visited Ibiza and has never left the United States or neither has visited Ibiza nor has never left the United States.",D10,disjunctive syllogism,,,,,,,,
,,,,,,,,,,,"D10, D8","Kate neither travels to Spain nor studies in the library on weekend evenings, or she neither reapplies to Spanish passports and visas nor studies in the library on weekend evenings","Kate neither has partied at the EC10 nightclub nor has never left the United States, or Kate neither has visited Ibiza nor has never left the United States.",D11,disjunctive syllogism,,,,,,,,
,,,,,,,,,,,"D11, D9","Kate neither travels to Spain nor studies in the library on weekend evenings, or she neither travels to Spain nor studies in the library on weekend evenings","Kate neither has partied at the EC10 nightclub nor has never left the United States, or Kate neither has partied at the EC10 nightclub nor has never left the United States.",D12,universal instantiation,,,,,,,,
,,,,,,,,,,,D12,Kate neither travels to Spain nor studies in the library on weekend evenings.,Kate neither has partied at the EC10 nightclub nor has never left the United States.,D13,idempotent,,,,,,,,
,,,,,,,,,,,D13,Kate does not frequently travel to Spain.,Kate has not partied at the EC10 nightclub.,D14,conjunction elimination,,,,,,,,
332,CORRECTED,,TBC,,,"If people don't often clean their homes, then they do not have tidy houses.
If people don't prioritize cleaning, then they do not often clean their homes.
If people hire a maid or cleaning service, then they have tidy houses.
If people don't care about cleanliness, then they do not prioritize cleaning.
Either Jack does hire a maid or cleaning service and does not often clean his home, or he does not hire a maid or cleaning service nor often clean his home.","If people are too busy to clean, then they do not have tidy houses.
If people are overburdened, then they are too busy to clean.
If people hire a maid or cleaning service, then they have tidy houses.
If people live in the suburbs, then they are overburdened.
Jack either does not hire a maid or cleaning service or, if he does, then he is not too busy to clean.",Jack lives in the suburbs.,Jack doesn't care about cleanliness.,"F
",,,,,,"∀x (¬Clean(x, home, often) → ¬Have(x, tidyHouse))
∀x (¬Prioritize(x, cleaning) → ¬Clean(x, home, often))
∀x (Hire(x, maid) ​​∨ Hire(x, cleaningService) → Have(x, tidyHouse))
∀x (¬CareAbout(x, cleanliness) → ¬Prioritize(x, cleaning))
¬(Hire(x, maid) ​​∨ Hire(x, cleaningService))⊕ ¬Clean(jack, home, often))","∀x (¬OftenClean(x) → ¬TidyHouse(x))
∀x (¬PrioritizeCleaning(x) → ¬OftenClean(x))
∀x (HireCleaning(x) → TidyHouse(x))
∀x (¬CareAboutCleanliness(x) → ¬PrioritizeCleaning(x))
¬(HireCleaning(jack) ⊕ ¬OftenClean(jack))","∀x (TooBusyToClean(x) → ¬TidyHouse(x))
∀x (Overburdened(x) → TooBusyToClean(x))
∀x (HireCleaning(x) → TidyHouse(x))
∀x (LiveInSuburbs(x) → Overburdened(x))
¬(HireCleaning(jack) ⊕ TooBusyToClean(jack))","¬(CareAbout(jack, cleanliness))",¬(CareAboutCleanliness(jack)),LiveInSuburbs(jack),,
,,,,,,,"wenfei_comment: either and, or neither nor. ",,,,1,"If people have tidy houses, then they are not too busy to clean.","If people have tidy houses, then they often clean their homes.",D1,transposition,,,,,,,,
,,,,,,,"If people are too busy to clean, then they do not have tidy houses.
If people are overburdened, then they are too busy to clean.
If people hire a maid or cleaning service, then they have tidy houses.
If people live in the suburbs, then they are overburdened.
Jack either does not hire a maid or cleaning service or, if he does, then he is not too busy to clean.",,,,"D1, 3","If people hire a maid or cleaning service, then they are not too busy to clean.","If people hire a maid or cleaning service, then they often clean their homes.",D2,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D2,People cannot both hire a maid or cleaning services and be too busy to clean.,People do not both hire a maid or cleaning service and not often clean their homes.,D3,ANDEquivalent1,,,,,,,,
,,,,,,,,,,,D3,Jack cannot both hire a maid or cleaning services and be too busy to clean.,Jack does not both hire a maid or cleaning service and not often clean their home.,D4,universal instantiation,,,,,,,,
,,,,,,,,,,,"D4, 5",Jack neithers hires a maid or cleaning services nor is too busy to clean.,Jack neither hires a maid or cleaning service nor does not often clean their home.,D5,disjunctive syllogism,,,,,,,,
,,,,,,,,,,,"2, 4","If someone lives in the suburbs, then they are too busy to clean.","If people don't care about cleanliness, then they do not often clean their home.",D6,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D6,"If someone is not too busy to clean, then they do not live in the suburbs.","If someone often cleans their home, then they care about cleanliness.",D7,transposition,,,,,,,,
,,,,,,,,,,,D5,Jack is not too busy to clean.,Jack often cleans their home.,D8,conjunction elimination,,,,,,,,
,,,,,,,,,,,"D8, D7",Jack does not live in the suburbs.,Jack cares about cleanliness.,D9,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
332,CORRECTED,,TBC,,,"If people don't often clean their homes, then they do not have tidy houses.
If people don't prioritize cleaning, then they do not often clean their homes.
If people hire a maid or cleaning service, then they have tidy houses.
If people don't care about cleanliness, then they do not prioritize cleaning.
Either Jack does hire a maid or cleaning service and does not often clean his home, or he does not hire a maid or cleaning service nor often clean his home.","If people are too busy to clean, then they do not have tidy houses.
If people are overburdened, then they are too busy to clean.
If people hire a maid or cleaning service, then they have tidy houses.
If people live in the suburbs, then they are overburdened.
Jack either does not hire a maid or cleaning service or, if he does, then he is not too busy to clean.",Jack does not live in the suburbs.,Jack does care about cleanliness.,"T
",,,,,,,"∀x (¬OftenClean(x) → ¬TidyHouse(x))
∀x (¬PrioritizeCleaning(x) → ¬OftenClean(x))
∀x (HireCleaning(x) → TidyHouse(x))
∀x (¬CareAboutCleanliness(x) → ¬PrioritizeCleaning(x))
¬(HireCleaning(jack) ⊕ ¬OftenClean(jack))","∀x (TooBusyToClean(x) → ¬TidyHouse(x))
∀x (Overburdened(x) → TooBusyToClean(x))
∀x (HireCleaning(x) → TidyHouse(x))
∀x (LiveInSuburbs(x) → Overburdened(x))
¬(HireCleaning(jack) ⊕ TooBusyToClean(jack))","CareAbout(jack, cleanliness)",CareAboutCleanliness(jack),¬LiveInSuburbs(jack),,
,,,,,,,"wenfei_comment: either and, or neither nor. ",,,,1,"If people have tidy houses, then they are not too busy to clean.","If people have tidy houses, then they often clean their homes.",D1,transposition,,,,,,,,
,,,,,,,"If people are too busy to clean, then they do not have tidy houses.
If people are overburdened, then they are too busy to clean.
If people hire a maid or cleaning service, then they have tidy houses.
If people work for more than 10 hours per weekday, then they are overburdened.
Jack either does not hire a maid or cleaning service or, if he does, then he is not too busy to clean.",Jack does not works for more than 10 hours per weekday,,,"D1, 3","If people hire a maid or cleaning service, then they are not too busy to clean.","If people hire a maid or cleaning service, then they often clean their homes.",D2,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D2,People cannot both hire a maid or cleaning services and be too busy to clean.,People do not both hire a maid or cleaning service and not often clean their homes.,D3,ANDEquivalent1,,,,,,,,
,,,,,,,,,,,D3,Jack cannot both hire a maid or cleaning services and be too busy to clean.,Jack does not both hire a maid or cleaning service and not often clean their home.,D4,universal instantiation,,,,,,,,
,,,,,,,,,,,"D4, 5",Jack neithers hires a maid or cleaning services nor is too busy to clean.,Jack neither hires a maid or cleaning service nor does not often clean their home.,D5,disjunctive syllogism,,,,,,,,
,,,,,,,,,,,"2, 4","If someone lives in the suburbs, then they are too busy to clean.","If people don't care about cleanliness, then they do not often clean their home.",D6,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D6,"If someone is not too busy to clean, then they do not live in the suburbs.","If someone often cleans their home, then they care about cleanliness.",D7,transposition,,,,,,,,
,,,,,,,,,,,D5,Jack is not too busy to clean.,Jack often cleans their home.,D8,conjunction elimination,,,,,,,,
,,,,,,,,,,,"D8, D7",Jack does not live in the suburbs.,Jack cares about cleanliness.,D9,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
332,CORRECTED,,TBC,,,"If people don't often clean their homes, then they do not have tidy houses.
If people don't prioritize cleaning, then they do not often clean their homes.
If people hire a maid or cleaning service, then they have tidy houses.
If people don't care about cleanliness, then they do not prioritize cleaning.
Either Jack does hire a maid or cleaning service and does not often clean his home, or he does not hire a maid or cleaning service nor often clean his home.","If people are too busy to clean, then they do not have tidy houses.
If people are overburdened, then they are too busy to clean.
If people hire a maid or cleaning service, then they have tidy houses.
If people live in the suburbs, then they are overburdened.
Jack either does not hire a maid or cleaning service or, if he does, then he is not too busy to clean.",Jack has a tidy house.,,"U
",,,,,,,"∀x (¬OftenClean(x) → ¬TidyHouse(x))
∀x (¬PrioritizeCleaning(x) → ¬OftenClean(x))
∀x (HireCleaning(x) → TidyHouse(x))
∀x (¬CareAboutCleanliness(x) → ¬PrioritizeCleaning(x))
¬(HireCleaning(jack) ⊕ ¬OftenClean(jack))","∀x (TooBusyToClean(x) → ¬TidyHouse(x))
∀x (Overburdened(x) → TooBusyToClean(x))
∀x (HireCleaning(x) → TidyHouse(x))
∀x (LiveInSuburbs(x) → Overburdened(x))
¬(HireCleaning(jack) ⊕ TooBusyToClean(jack))","Have(jack, tidyHouse)",TidyHouse(jack),TidyHouse(jack),,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
332,CanBeBetter,,TBC,,,,"If people are too busy to clean, then they do not have tidy houses.
If people are overburdened, then they are too busy to clean.
If people hire a maid or cleaning service, then they have tidy houses.
If people live in the suburbs, then they are overburdened.
Jack either does not hire a maid or cleaning service or, if he does, then he is not too busy to clean.",Jack neither lives in the suburbs nor is too busy to clean.,,"T
",,,,,,,,"∀x (TooBusyToClean(x) → ¬TidyHouse(x))
∀x (Overburdened(x) → TooBusyToClean(x))
∀x (HireCleaning(x) → TidyHouse(x))
∀x (LiveInSuburbs(x) → Overburdened(x))
¬(HireCleaning(jack) ⊕ TooBusyToClean(jack))",¬(¬CareAboutCleanliness(jack)∨ ¬OftenClean(jack)),,¬(LiveInSuburbs(jack) ∨ TooBusyToClean(jack)),,
,,,,,,,,,,,1,"If people have tidy houses, then they are not too busy to clean.","If people have tidy houses, then they often clean their homes.",D1,transposition,,,,,,,,
,,,,,,,,Jack neither works for more than 10 hours per weekday nor is too busy to clean.,,,"D1, 3","If people hire a maid or cleaning service, then they are not too busy to clean.","If people hire a maid or cleaning service, then they often clean their homes.",D2,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D2,People cannot both hire a maid or cleaning services and be too busy to clean.,People do not both hire a maid or cleaning service and not often clean their homes.,D3,ANDEquivalent1,,,,,,,,
,,,,,,,,,,,D3,Jack cannot both hire a maid or cleaning services and be too busy to clean.,Jack does not both hire a maid or cleaning service and not often clean their home.,D4,universal instantiation,,,,,,,,
,,,,,,,,,,,"D4, 5",Jack neithers hires a maid or cleaning services nor is too busy to clean.,Jack neither hires a maid or cleaning service nor does not often clean their home.,D5,disjunctive syllogism,,,,,,,,
,,,,,,,,,,,"2, 4","If someone lives in the suburbs, then they are too busy to clean.","If people don't care about cleanliness, then they do not often clean their home.",D6,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D6,"If someone is not too busy to clean, then they do not live in the suburbs.","If someone often cleans their home, then they care about cleanliness.",D7,transposition,,,,,,,,
,,,,,,,,,,,D5,Jack is not too busy to clean.,Jack often cleans their home.,D8,conjunction elimination,,,,,,,,
,,,,,,,,,,,"D8, D7",Jack does not live in the suburbs.,Jack cares about cleanliness.,D9,universal instantiation,,,,,,,,
,,,,,,,,,,,"D9, D8",Jack does not live in the suburbs and he is not too busy to clean.,Jack cares about cleanliness and often cleans their home.,D10,conjunction introduction,,,,,,,,
332,,,,,,,"If people are too busy to clean, then they do not have tidy houses.
If people are overburdened, then they are too busy to clean.
If people hire a maid or cleaning service, then they have tidy houses.
If people live in the suburbs, then they are overburdened.
Jack either does not hire a maid or cleaning service or, if he does, then he is not too busy to clean.",Jack is overburdened and lives in the suburbs.,,F,,,,,,,,"∀x (TooBusyToClean(x) → ¬TidyHouse(x))
∀x (Overburdened(x) → TooBusyToClean(x))
∀x (HireCleaning(x) → TidyHouse(x))
∀x (LiveInSuburbs(x) → Overburdened(x))
¬(HireCleaning(jack) ⊕ TooBusyToClean(jack))",¬PrioritizeCleaning(jack) ∨ ¬CareAboutCleanliness(jack),,Overburdened(jack) ∨ LiveInSuburbs(jack),,
,,,,,,,,,,,1,"If people have tidy houses, then they are not too busy to clean.","If people have tidy houses, then they often clean their homes.",D1,transposition,,,,,,,,
,,,,,,,,Jack is overburdened and he works for more than 10 hours per weekday,,,"D1, 3","If people hire a maid or cleaning service, then they are not too busy to clean.","If people hire a maid or cleaning service, then they often clean their homes.",D2,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D2,People cannot both hire a maid or cleaning services and be too busy to clean.,People do not both hire a maid or cleaning service and not often clean their homes.,D3,ANDEquivalent1,,,,,,,,
,,,,,,,,,,,D3,Jack cannot both hire a maid or cleaning services and be too busy to clean.,Jack does not both hire a maid or cleaning service and not often clean their home.,D4,universal instantiation,,,,,,,,
,,,,,,,,,,,"D4, 5",Jack neithers hires a maid or cleaning services nor is too busy to clean.,Jack neither hires a maid or cleaning service nor does not often clean their home.,D5,disjunctive syllogism,,,,,,,,
,,,,,,,,,,,"2, 4","If someone lives in the suburbs, then they are too busy to clean.","If people don't care about cleanliness, then they do not often clean their home.",D6,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D6,"If someone is not too busy to clean, then they do not live in the suburbs.","If someone often cleans their home, then they care about cleanliness.",D7,transposition,,,,,,,,
,,,,,,,,,,,D5,Jack is not too busy to clean.,Jack often cleans their home.,D8,conjunction elimination,,,,,,,,
,,,,,,,,,,,"D8, D7",Jack does not live in the suburbs.,Jack cares about cleanliness.,D9,universal instantiation,,,,,,,,
,,,,,,,,,,,2,"If someone is not too busy to clean, then they are not overburdened.","If someone often cleans their home, then they prioritize cleaning.",D10,transposition,,,,,,,,
,,,,,,,,,,,"D10, D8",Jack is not overburdened.,Jack prioritizes cleaning.,D11,universal instantiation,,,,,,,,
,,,,,,,,,,,"D11, D9",Jack does not live in the suburbs and is not overburdened.,Jack cares about cleanliness and prioritizes cleaning.,D12,conjunction introduction,,,,,,,,
333,QUESTION,,UNKNOWN,,,"If people have a lot of music decorations in their rooms, they cannot pack and move out of their rooms very easily.
If people have high ambitions and future career goals, then they can pack and move out of their rooms very easily.
If people are big fans of pop bands and singers, then they have a lot of music decorations in their room.
All young teenage girls who attend music festival frequently are big fans of pop bands and singers.
If Sam has high ambitions and future career goals, then Sam is a big fan of pop bands and singers.","If people have a lot of music decorations in their rooms, they cannot pack and move out of their rooms very easily.
If people have high ambitions and future career goals, then they can pack and move out of their rooms very easily.
If people are big fans of pop bands and singers, then they have a lot of music decorations in their room.
All young teenage girls who attend college are big fans of pop bands and singers.
If Sam has high ambitions and future career goals, then Sam is a big fan of pop bands and singers.",Sam is a young teenage girl attending college.,Sam is a young teenage girl who attends music festival frequently,"F
",,,,,,"∀x (MusicDecorations(x, room) → ¬MoveOut(x, easily))
∀x (Ambitious(x) → MoveOut(x, easily))
∀x (BigFanOfMusic(x) → MusicDecorations(x, room))
∀x (Attend(x, festival) ∧ YoungTeenageGirl(x) → BigFanOfMusic(x))
Ambitious(sam) → BigFanOfMusic(sam)","∀x (MusicDecorationsInRoom(x) → ¬MoveOutEasily(x))
∀x (Ambitious(x) → MoveOutEasily(x))
∀x (BigFanOfMusic(x) → MusicDecorationsInRoom(x))
∀x (YoungTeenageGirlAttendingFestival(x) → BigFanOfMusic(x))
Ambitious(sam) → BigFanOfMusic(sam)","∀x (MusicDecorationsInRoom(x) → ¬MoveOutEasily(x))
∀x (Ambitious(x) → MoveOutEasily(x))
∀x (BigFanOfMusic(x) → MusicDecorationsInRoom(x))
∀x (YoungTeenageGirlAttendingCollege(x) → Ambitious(x))
Ambitious(sam) → BigFanOfMusic(sam)","Attend(sam, festival) ∧ YoungTeenageGirl(sam)",YoungTeenageGirlAttendingFestival(sam),YoungTeenageGirlAttendingCollege(sam),,
,,,,,,,,,,,5,Sam is not very ambitious or Sam is a big fan of music.,Sam is not very ambitious or Sam is a big fan of music.,D1,material implication,,,,,,,,
,,,,,,,,,,,"1, 3","If someone is a big fan of music, then they cannot pack and move out easily.","If someone is a big fan of music, then they cannot pack and move out easily.",D2,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,2,"If someone cannot pack and move out easily, then they are not very ambitious.","If someone cannot pack and move out easily, then they are not very ambitious.",D3,transposition,,,,,,,,
,,,,,,,,,,,"D3, D2","If someone is a big fan of music, then are not very ambitious.","If someone is a big fan of music, then are not very ambitious.",D4,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D4,Someone is not a big fan of music or is not very ambitious. ,Someone is not a big fan of music or is not very ambitious. ,D5,material implication,,,,,,,,
,,,,,,,,,,,D5,Sam is not a big fan of music or is not very ambitious. ,Sam is not a big fan of music or is not very ambitious. ,D6,universal instantiation,,,(a∨b)∧(a∨¬b) is equivalent to a,,,,,
,,,,,,,,,,,"D5, D1",Sam is not very ambitious.,Sam is not very ambitious.,D7,NA,,,,,,,,
,,,,,,,,,,,4,"If someone is not very ambitious, then they are not young teenage girls who attend college.","If someone is not very ambitious, then they are not young teenage girls who attend music festivals frequently.",D8,transposition,,,,,,,,
,,,,,,,,,,,"D6, D7",Sam is not a young teenage girl who attends college.,Sam is not a young teenage girl who attends music festivals frequently.,D9,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
333,,,,,,"If people have a lot of music decorations in their rooms, they cannot pack and move out of their rooms very easily.
If people have high ambitions and future career goals, then they can pack and move out of their rooms very easily.
If people are big fans of pop bands and singers, then they have a lot of music decorations in their room.
All young teenage girls who attend music festival frequently are big fans of pop bands and singers.
If Sam has high ambitions and future career goals, then Sam is a big fan of pop bands and singers.","If people have a lot of music decorations in their room, they cannot pack and move out of their rooms very easily.
If people have high ambitions and future career goals, then they can pack and move out of their rooms very easily.
If people are big fans of pop bands and singers, then they have a lot of music decorations in their room.
All young teenage girls who attend college are big fans of pop bands and singers.
If Sam has high ambitions and future career goals, then Sam is a big fan of pop bands and singers.",Sam is not a young teenage girl attending college.,Sam is not a young teenage girl who attends music festival frequently,"T
",,,,,,,"∀x (MusicDecorationsInRoom(x) → ¬MoveOutEasily(x))
∀x (Ambitious(x) → MoveOutEasily(x))
∀x (BigFanOfMusic(x) → MusicDecorationsInRoom(x))
∀x (YoungTeenageGirlAttendingFestival(x) → BigFanOfMusic(x))
Ambitious(sam) → BigFanOfMusic(sam)","∀x (MusicDecorationsInRoom(x) → ¬MoveOutEasily(x))
∀x (Ambitious(x) → MoveOutEasily(x))
∀x (BigFanOfMusic(x) → MusicDecorationsInRoom(x))
∀x (YoungTeenageGirlAttendingCollege(x) → Ambitious(x))
Ambitious(sam) → BigFanOfMusic(sam)","¬(Attend(sam, festival) ∧ YoungTeenageGirl(sam))",¬YoungTeenageGirlAttendingFestival(sam),¬YoungTeenageGirlAttendingCollege(sam),,
,,,,,,,,,,,5,Sam is not very ambitious or Sam is a big fan of music.,Sam is not very ambitious or Sam is a big fan of music.,D1,material implication,,,,,,,,
,,,,,,,,,,,"1, 3","If someone is a big fan of music, then they cannot pack and move out easily.","If someone is a big fan of music, then they cannot pack and move out easily.",D2,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,2,"If someone cannot pack and move out easily, then they are not very ambitious.","If someone cannot pack and move out easily, then they are not very ambitious.",D3,transposition,,,,,,,,
,,,,,,,,,,,"D3, D2","If someone is a big fan of music, then are not very ambitious.","If someone is a big fan of music, then are not very ambitious.",D4,hypothetical syllogism,,,,,,,,
,,,,,,,,,,,D4,Someone is not a big fan of music or is not very ambitious. ,Someone is not a big fan of music or is not very ambitious. ,D5,material implication,,,,,,,,
,,,,,,,,,,,D5,Sam is not a big fan of music or is not very ambitious. ,Sam is not a big fan of music or is not very ambitious. ,D6,universal instantiation,,,,,,,,
,,,,,,,,,,,"D5, D1",Sam is not very ambitious.,Sam is not very ambitious.,D7,NA,,,,,,,,
,,,,,,,,,,,4,"If someone is not very ambitious, then they are not young teenage girls who attend college.","If someone is not very ambitious, then they are not young teenage girls who attend music festivals frequently.",D8,transposition,,,,,,,,
,,,,,,,,,,,"D6, D7",Sam is not a young teenage girl who attends college.,Sam is not a young teenage girl who attends music festivals frequently.,D9,universal instantiation,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
