story_id,Truth Value,Premises used,Derivation,Derivation - Corrected,Derivation index,Inference rule
,,"D4, 2",Prius is not an electric car.,,D5,universal instantiation
,,"D5, D7","Prius is a loud car or a Ferrari, and not an electric car.",,D6,conjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
343,"U
",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
343,"F
",,,,,
,,"1, 3",All streaming services are not analog.,,D1,hypothetical syllogism
,,2,"If something is not analog, then it cannot be printed text.",,D2,transposition
,,"D1, D2",All streaming services are not printed text.,,D3,hypothetical syllogism
,,4,"If something is not printed text, then it is not a hardcover book.",,D4,transposition
,,D4,All streaming services are not hardcover books.,,D5,hypothetical syllogism
,,D5,Hard cover books are not streaming services.,,D6,transposition
,,D6,"If 1984 is a hard cover book, then it is not a streaming service.",,D7,universal instantiation
,,"D6, 5","If 1984 is a streaming service, then it is not a streaming service.",,D8,modus ponens
,,D8,"1984 is not a streaming service, then it is not a streaming service.",,D9,material implication
,,D9,1984 is not a streaming service.,,D10,idempotent/tautology
343,T,,,,,
,,"1, 3",All streaming services are not analog.,,D1,hypothetical syllogism
,,2,"If something is not analog, then it cannot be printed text.",,D2,transposition
,,"D1, D2",All streaming services are not printed text.,,D3,hypothetical syllogism
,,4,"If something is not printed text, then it is not a hardcover book.",,D4,transposition
,,D4,All streaming services are not hardcover books.,,D5,hypothetical syllogism
,,D5,Hard cover books are not streaming services.,,D6,transposition
,,D6,"If 1984 is a hard cover book, then it is not a streaming service.",,D7,universal instantiation
,,"D6, 5","If 1984 is a streaming service, then it is not a streaming service.",,D8,modus ponens
,,D8,"1984 is not a streaming service, then it is not a streaming service.",,D9,material implication
,,D9,1984 is not a streaming service.,,D10,idempotent/tautology
344,F,,,,,
,^shouldn't this be U?,"1, 2",Graduate students are members of the university.,Graduate students are members of the university.,D1,hypothetical syllogism
,,5,"If John is a member of the university, then John is a PhD student.","If John is a member of the university, then John is a PhD student.",D2,transposition
,,D1,"If John is a graduate student, then he is a member of the university.","If John is a graduate student, then he is a member of the university.",D3,universal instantiation
,,"D2, D3","If John is a graduate student, then John is a PhD student.","If John is a graduate student, then John is a PhD student.",D4,hypothetical syllogism
,,3,"If John is a PhD student, then John is a graduate student.","If John is a PhD student, then John is a graduate student.",D5,universal instantiation
,,"D4, D5","John is either both a graduate student and a PhD student , or neither a graduate student nor a PhD student.","John is either both a graduate student and a PhD student , or neither a graduate student nor a PhD student.",D6,iff introduction
,,6,"At least one of the two scenarios is true: first, john does not have a high IQ; second, john is either a PhD student or a graduate student.","Either John is not a teaching fellow, or John either is a PhD student or a graduate student.",D7,material implication
,,"D7, D6",John does not have a high IQ.,John is not a teaching fellow.,D8,disjunctive syllogism
,,,,,,
,,,,,,
344,T,,,,,
,^shouldn't this be U?,"1, 2",Graduate students are members of the university.,Graduate students are members of the university.,D1,hypothetical syllogism
,,5,"If John is a member of the university, then John is a PhD student.","If John is a member of the university, then John is a PhD student.",D2,transposition
,,D1,"If John is a graduate student, then he is a member of the university.","If John is a graduate student, then he is a member of the university.",D3,universal instantiation
,,"D2, D3","If John is a graduate student, then John is a PhD student.","If John is a graduate student, then John is a PhD student.",D4,hypothetical syllogism
,,3,"If John is a PhD student, then John is a graduate student.","If John is a PhD student, then John is a graduate student.",D5,universal instantiation
,,"D4, D5","John is either both a graduate student and a PhD student , or neither a graduate student nor a PhD student.","John is either both a graduate student and a PhD student , or neither a graduate student nor a PhD student.",D6,iff introduction
,,6,At least one of the two scenarios is true: john does not have a high IQ; john is either a PhD student or a graduate student.,"Either John is not a teaching fellow, or John either is a PhD student or a graduate student.",D7,material implication
,,"D7, D6",John does not have a high IQ.,John is not a teaching fellow.,D8,disjunctive syllogism
,,,,,,
,,,,,,
344,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
345,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
345,F,,,,,
,,4,,"If Nancy is a pirate, Nancy is a seafarer.",D1,universal instantiation
,,3,,"If Nancy is a seafarer, Nancy is not young.",D2,universal instantiation
,,"D1, D2",,"If Nancy is a pirate, Nancy is not young.",D3,hypothetical syllogism
,,1,,"If Nancy is not young, Nancy is not a kid.",D4,modus tollens
,,"D3, D4",,"If Nancy is a pirate, Nancy is not a kid.",D5,hypothetical syllogism
,,2,,"If Nancy is not a kid, Nancy is not a toddler.",D6,universal instantiation
,,"D5, D6",,"If Nancy is a pirate, Nancy is not a toddler.",D7,hypothetical syllogism
,,2,,"If Nancy is a toddler, Nancy is a kid.",D8,universal instantiation
,,1,,"If Nancy is a kid, Nancy is young.",D9,universal instantiation
,,"D8, D9",,"If Nancy is a toddler, Nancy is young.",D10,hypothetical syllogism
,,"D10, 3",,"If Nancy is a toddler, Nancy is not a seafarer.",D11,hypothetical syllogism
,,4,,"If Nancy is not a seafarer, Nancy is not a pirate.",D12,modus tollens
,,"D11, D12",,"If Nancy is a toddler, Nancy is not a pirate.",D13,hypothetical syllogism
,,"D7, D13",,Nancy is not both a toddler and a pirate or neither a toddler nor a pirate.,D14,iff introduction
345,T,,,,,
,,4,,"If Nancy is a pirate, Nancy is a seafarer.",D1,universal instantiation
,,3,,"If Nancy is a seafarer, Nancy is not young.",D2,universal instantiation
,,"D1, D2",,"If Nancy is a pirate, Nancy is not young.",D3,hypothetical syllogism
,,1,,"If Nancy is not young, Nancy is not a kid.",D4,modus tollens
,,"D3, D4",,"If Nancy is a pirate, Nancy is not a kid.",D5,hypothetical syllogism
,,2,,"If Nancy is not a kid, Nancy is not a toddler.",D6,universal instantiation
,,"D5, D6",,"If Nancy is a pirate, Nancy is not a toddler.",D7,hypothetical syllogism
,,2,,"If Nancy is a toddler, Nancy is a kid.",D8,universal instantiation
,,1,,"If Nancy is a kid, Nancy is young.",D9,universal instantiation
,,"D8, D9",,"If Nancy is a toddler, Nancy is young.",D10,hypothetical syllogism
,,"D10, 3",,"If Nancy is a toddler, Nancy is not a seafarer.",D11,hypothetical syllogism
,,4,,"If Nancy is not a seafarer, Nancy is not a pirate.",D12,modus tollens
,,"D11, D12",,"If Nancy is a toddler, Nancy is not a pirate.",D13,hypothetical syllogism
,,"D7, D13",,Nancy is not both a toddler and a pirate or neither a toddler nor a pirate.,D14,iff introduction
346,U,,,,,
,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
346,T,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
346,F,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
347,F,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
347,T,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
347,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
347,T,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
347,T,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
348,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
348,T,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
348,F,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
349,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
349,T,4,,The chopsticks used in Tom's house are not made from metal and plastic.,D1,universal instantiation
,,"D1, 6",,The chopsticks used in Tom's house are neither made from metals nor plastics.,D2,disjunctive syllogism
,,D2,,The chopsticks used in Tom's house are not made from metals.,D3,conjunction elimination
,,"D3, 5",,The chopsticks used in Tom's house are not reusable items.,D4,modus tollens
,,"D4, 3",,The chopsticks used in Tom's house are disposable.,D5,disjunctive syllogism
,,"D5, 1",,The chopsticks used in Tom's house are designed to be used only once.,D6,modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
349,F,4,,The chopsticks used in Tom's house are not made from metal and plastic.,D1,universal instantiation
,,"D1, 6",,The chopsticks used in Tom's house are neither made from metals nor plastics.,D2,disjunctive syllogism
,,D2,,The chopsticks used in Tom's house are not made from metals.,D3,conjunction elimination
,,"D3, 5",,The chopsticks used in Tom's house are not reusable items.,D4,modus tollens
,,"D4, 3",,The chopsticks used in Tom's house are disposable.,D5,disjunctive syllogism
,,"D5, 1",,The chopsticks used in Tom's house are designed to be used only once.,D6,modus ponens
,,D2,,The chopsticks used in Tom's house are not made from plastics.,D7,conjunction elimination
,,D6,,The chopsticks used in Tom's house are made from plastic or designed to be used only once.,D8,disjunction introduction
,,D7,,The chopsticks used in Tom's house are not made from plastic and eco-friendly.,D9,disjunction introduction
,,"D8, D9",,"The chopsticks used in Tom's house are made from plastic or designed to be used only once, and are not made from plastic and eco-friendly.",D10,conjunction introduction
,,,,,,
350,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
350,T,,,,,
,,"2,6",A design by Max does not have interesting geometries.,,D1,disjunctive syllogism
,,1,A design that does not have interersting geometries is not Zaha Hadid's design styles that Max adores,,D6,transposition
,,"D1,6",A design by Max is not by Zaha hadid's,,D2,universal instantiation
,,"D2,3",A design by Max is by Kelly Wearstler.,,D3,disjunctive syllogism
,,"D3,4",A design by Max is evocative,,D4,universal instantiation
,,"D3,5",A design by Max is dreamy.,,D5,universal instantiation
,,"D4, D5",A design by Max is evocative and dreamy. ,,D7,conjunction introduction
,,,,,,
,,,,,,
,,,,,,
350,F,,,,,
,,"2,6",A design by Max does not have interesting geometries.,,D1,disjunctive syllogism
,,1,A design that does not have interersting geometries is not Zaha Hadid's design styles that Max adores,,D6,transposition
,,"D1,6",A design by Max is not by Zaha hadid's,,D2,universal instantiation
,,"D2,3",A design by Max is by Kelly Wearstler.,,D3,disjunctive syllogism
,,"D3,4",A design by Max is evocative,,D4,universal instantiation
,,"D3,5",A design by Max is dreamy.,,D5,universal instantiation
,,"D4, D5",A design by Max is evocative and dreamy. ,,D7,conjunction introduction
,,D7,"A design by Max is evocative and dreamy, or is not evocative and not dreamy",,D8,disjunction introduction
,,,,,,
,,,,,,
351,"U
",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
351,"F
",,,,,
,,"1,3","If a place is in the travel guide, then it is worth traveling to.",All flight destinations from Tweed Airport don't need a passport to travel there.,D1,hypothetical syllogism
,,"2,D1","If a place is in the travel guide, then hotel prices are not cheap.",All flight destinations from Tweed Airport do not have Russian as a widely-spoken language.,D2,hypothetical syllogism
,,4,"If hotel prices are not cheap during the hot season, then a place does not lacks tourist interest.",All places that do not have Russian as a widely spoken language are not Baltic countries.,D3,transposition
,,"D2,D3","If a place is in the travel guide, then it does not lack tourist interest.",All flight destinations from Tweed Airport are not Baltic countries.,D4,hypothetical syllogism
,,"6,D4",The places that Max wants to visit don't lack tourist interest.,The places that Max wants to visit are not Baltic countries.,D5,universal instantiation and modus ponens
,,5,"If the places don't lack tourist interest, they have special scenes to see.",Places that are not Baltic countries do not have many Estonian street signs.,D6,transposition
,,"D5,D6",The places that Max wants to visit are places that have special scenes to see.        ,The places that Max wants to visit do not have many Estonian street signs.,D7,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
351,T,"1,3","If a place is in the travel guide, then it is worth traveling to.",All flight destinations from Tweed Airport don't need a passport to travel there.,D1,hypothetical syllogism
,,"2,D1","If a place is in the travel guide, then hotel prices are not cheap.",All flight destinations from Tweed Airport do not have Russian as a widely-spoken language.,D2,hypothetical syllogism
,,4,"If hotel prices are not cheap during the hot season, then a place does not lacks tourist interest.",All places that do not have Russian as a widely spoken language are not Baltic countries.,D3,transposition
,,"D2,D3","If a place is in the travel guide, then it does not lack tourist interest.",All flight destinations from Tweed Airport are not Baltic countries.,D4,hypothetical syllogism
,,"6,D4",The places that Max wants to visit don't lack tourist interest.,The places that Max wants to visit are not Baltic countries.,D5,universal instantiation and modus ponens
,,5,"If the places don't lack tourist interest, they have special scenes to see.",Places that are not Baltic countries do not have many Estonian street signs.,D6,transposition
,,"D5,D6",The places that Max wants to visit are places that have special scenes to see.        ,The places that Max wants to visit do not have many Estonian street signs.,D7,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
352,"U
",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
352,"F
",,,,,
,,"1,2",All mammals from Australia are Max's favorite animals.,All companies are legal entities.,D1,modus ponens
,,"D1,3",All quokka are Max's favorite animals.,All private companies are legal entities,D2,modus ponens
,,"D2,4",All quokka are very fluffy.,All private companies are created under law.,D3,modus ponens
,,6,"If a koala is a quokka, it is not very fluffy.","If the Harvard Weekly Book Club is a private company, then it is not created under law.",D4,transposition
,,"D3,D4",Koalas are not quokkas.,The Harvard Weekly Book Club is not a private company.,D5,ORUni5
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
352,T,,,,,
,,"1,2",All mammals from Australia are Max's favorite animals.,All companies are legal entities.,D1,modus ponens
,,"D1,3",All quokka are Max's favorite animals.,All private companies are legal entities.,D2,modus ponens
,,"D2,4",All quokka are very fluffy.,All private companies are created under law.,D3,modus ponens
,,6,"If a koala is a quokka, it is not very fluffy.","If the Harvard Weekly Book Club is a private company, then it is not created under law.",D4,transposition
,,"D3,D4",Koalas are not quokkas.,The Harvard Weekly Book Club is not a private company.,D5,ORUni5
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
353,T,,,,,
,,"2,6",“As it was” is not a classical music that Max listens to,,D1,conjunction elimination
,,"1, D1",“As it was” by Harry Styles is rap,,D2,disjunctive syllogism
,,"3, D2",“As it was” by Harry Stylesis from Kanye West,,D3,modus ponens
,,"4, D3",“As it was” by Harry Stylesis is full of lyrics,,D4,modus ponens
,,"5, D4",“As it was” by Harry Styles needs to be written with words.,,D5,modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
353,"U
",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
353,F,,,,,
,,6," “As it was” by Harry Styles is neither classical music that Max listens to, nor is from the 12th century. ",,D1,De Morgan's
,,"1,D1",“As it was” by Harry Styles is a rap that Max listens to.,,D2,disjunctive syllogism
,,"3,D2",“As it was” by Harry Styles is from Kanye West.,,D3,universal instantiation
,,"4,D3",“As it was” by Harry Styles is full of lyrics.,,D4,universal instantiation
,,"5,D4",“As it was” by Harry Styles needs to be written with words.,,D5,universal instantiation
,,"D3,D5","""As it was” by Harry Styles is both a song from Kanye West and needed to be written with words.",,D6,conjunction introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
354,T,,,,,
,,3，5,"If people are environmental conscious,they save a lot of money","If people think Santa Claus is made up, they don't leave out cookies on Christmas Eve.",D1,hypothetical syllogism
,,"D1,1",People either order a lot of Amazon packages or save a lot of money.,People either believe in Santa Claus or don't leave out cookies on Christmas Eve.,D2,modus ponens
,,D2,Marcy either orders a lot of Amazon packages or saves a lot of money.,Marcy either believes in Santa Claus or doesn't leave out cookies on Christmas Eve.,D3,existential introduction
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
354,F should be True,,,,,
,,1,,People do not both believe in Santa Claus and think he is made up.,D1,XOR2
,,D1,,Marcy does not both believe in Santa Claus and think he is made up.,D2,universal instantiation
,,"D2, 4",,People who believe in Santa Claus are excited for it to be Christmas.,D3,hypothetical syllogism
,,D3,,"If Marcy believes in Santa Claus, Marcy is excited for it to be Christmas.",D4,universal instantiation
,,"2, D4",,"If Marcy believes in Santa Claus, Marcy expects to get presents on Christmas morning and is excited for it to be Christmas.",D5,ORUni2
,,D5,,"If Marcy believes in Santa Claus, Marcy expects to get presents on Christmas morning and is excited for it to be Christmas and believes in Santa Claus.",D6,disjunction introduction
,,"D6, 6",,Marcy does not believe in Santa Claus.,D7,modus tollens
,,"D2, D7",,Marcy thinks Santa Claus is made up.,D8,disjunctive syllogism
,,"D8, 3",,Marcy would be surprised to see Santa Claus in their house.,D9,universal instantiation and modus ponens
,,"D9, 5",,Marcy does not leave out cookies on Christmas Eve.,D10,universal instantiation and modus ponens
,,"D8, D10",,Marcy thinks Santa Claus is made up and does not leave out cookies on Christmas Eve.,D11,conjunction introduction
,,"D2, D11",,"Marcy does not both believe in Santa Claus and think he is made up, and Marcy thinks Santa Claus is made up and does not leave out cookies on Christmas Eve.",D12,conjunction introduction
355,"U
",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
355,"F
",,,,,
,,"1,2","All people who grew up in health-conscious childhood homes are very conscious about their health and eating habits.
",,D1,modus ponens
,,4,"All people who are very conscious about their health and eating habits do not disregard their physical well-being.
",,D2,transposition
,,"D1,D2","All people who grew up in health-conscious childhood homes do not disregard their physical well-being.
",,D3,modus ponens
,,D3,People cannot grew up in health-conscious childhood homes and disregard their physical well-being.,,D4,ANDEquivalent1
,,D4，7,Taylor neither grew up in a health-conscious childhood home nor disregards their physical wellbeing,,D5,disjunctive syllogism
,,3,People who don't grow up in a health-conscious childhood homes don't fulfill their nutritional daily intakes,,D6,transposition
,,6,People who don't fulfilltheir daily nutritional intakes don't visit the gym at least once a day.,,D7,transposition
,,"D6,D7",People who don't grow up in a health-conscious childhood home don't visit the gym once a day,,D8,hypothetical syllogism
,,"D5,D8",Taylor does not visit the gym at least once a day.,,D9,universal instantiation
355,T,,,,,
,,"1,2","All people who grew up in health-conscious childhood homes are very conscious about their health and eating habits.
",,D1,modus ponens
,,4,"All people who are very conscious about their health and eating habits do not disregard their physical well-being.
",,D2,transposition
,,"D1,D2","All people who grew up in health-conscious childhood homes do not disregard their physical well-being.
",,D3,modus ponens
,,D3,People cannot grew up in health-conscious childhood homes and disregard their physical well-being.,,D4,ANDEquivalent1
,,D4，7,Taylor neither grew up in a health-conscious childhood home nor disregards their physical wellbeing,,D5,disjunctive syllogism
,,3,People who don't grow up in a health-conscious childhood homes don't fulfill their nutritional daily intakes,,D6,transposition
,,6,People who don't fulfilltheir daily nutritional intakes don't visit the gym at least once a day.,,D7,transposition
,,"D6,D7",People who don't grow up in a health-conscious childhood home don't visit the gym once a day,,D8,hypothetical syllogism
,,"D5,D8",Taylor does not visit the gym at least once a day.,,D9,universal instantiation
,,"D5,D9",Taylor neither grew up in a health-conscious childhood home nor does she visit the gym at least once a day.,,D10,conjunction introduction
356,"U
",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
356,"F -> should be U?
rui_comment: F is correct.",,,,,
,,3,"If not Tired, then PositiveAttitude.",,D1,disjunctive syllogism
,,"2,D1","If not Tired, then WorkTeams.",,D2,modus ponens
,,"6,D2",WorkTeams(kat) and Tired(kat) must be both true.,,D3,
,,"1,D3",Colleagues(kat) and Tired(kat) must be both true.,,D4,universal instantiation
,,"4,D4",Colleagues(kat) and CriticizedByBoss(kat) must be both true.,,D5,universal instantiation
,,"5,D5",Colleagues(kat) and notNegativeFeedback(kat) must be both true.,,D6,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
356,"T -> should be U?
rui_comment: T is correct",,,,,
,,3,"If not Tired, then PositiveAttitude.",,D1,disjunctive syllogism
,,"2,D1","If not Tired, then WorkTeams.",,D2,modus ponens
,,"6,D2",WorkTeams(kat) and Tired(kat) must be both true.,,D3,
,,"1,D3",Colleagues(kat) and Tired(kat) must be both true.,,D4,universal instantiation
,,"4,D4",Colleagues(kat) and CriticizedByBoss(kat) must be both true.,,D5,universal instantiation
,,"5,D5",Colleagues(kat) and notNegativeFeedback(kat) must be both true.,,D6,universal instantiation
,,,,,,
,,,,,,
,,,,,,
,,,,,,
357,"U
",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
357,T,,,Tyler either cares about creating community or does not care about creating community.,D1,XOR3
,,"D1, 5",,Tyler either is well-adjusted and engaged within their community or does not care about creating community.,D2,XORUni3
,,"D2, 4",,Tyler either wants to gain leadership skills or does not care about creating community.,D3,XORUni3
,,"D3, 3",,Tyler either joins student government in high school or does not care about creating community.,D4,XORUni3
,,"D4, 1",,Tyler either has many opportunities to improve their communication skills or does not care about creating community.,D5,XORUni3
,,2,,"If students have many opportunities to improve their communication skills, they do not stay alone in high school.",D6,transposition
,,"D5, D6",,Tyler either does not stay alone in high school. or does not care about creating community.,D7,XORUni3
,,"D2, D7",,Tyler either both is well-adjusted and engaged within their community and does not stay alone in high school or does not care about creating community.,D8,conjunction introduction
,,D8,,"If Tyler either both stays alone in high school and is well-adjusted and engaged in their community, or neither stays alone in high school nor is well-adjusted and engaged in their community, then Tyler does not care about creating community.",D9,disjunctive syllogism
,,,,"If Tyler does not care about creating community, Tyler does not both join student government and care about creating community.",D10,disjunction introduction
,,"D10, 6",,"If Tyler does not care about creating community, Tyler neither has many opportunities to improve their communication skills nor cares about creating community.",D11,hypothetical syllogism
,,"D11, 1",,"If Tyler does not care about creating community, Tyler does not join student government in high school.",D12,modus tollens
,,"D12, 3",,"If Tyler does not care about creating community, Tyler does not want to gain leadership skills.",D13,universal instantiation and modus tollens
,,"D13, 4",,"If Tyler does not care about creating community, Tyler is not well-adjusted and engaged within their community.",D14,universal instantiation and modus tollens
,,"D9, D14",,"If Tyler either both stays alone in high school and is well-adjusted and engaged in their community, or neither stays alone in high school nor is well-adjusted and engaged in their community, then Tyler is not well-adjusted and engaged within their community.",D15,hypothetical syllogism
,,D15,,"If Tyler either both stays alone in high school and is well-adjusted and engaged within their community, or neither stays alone in high school nor is well-adjusted and engaged within their community, then Tyler neither stays alone in high school nor is well-adjusted and engaged within in their community.",D16,disjunctive syllogism
,,"D11, D16",,"If Tyler either both stays alone in high school and is well-adjusted and engaged within their community, or neither stays alone in high school nor is well-adjusted and engaged within their community, then Tyler neither stays alone in high school nor is well-adjusted and engaged within in their community, and Tyler does not have many opportunities to improve their communication skills.",D17,conjunction introduction
,,D17,,"If Tyler either both stays alone in high school and is well-adjusted and engaged within their community, or neither stays alone in high school nor is well-adjusted and engaged within their community, then Tyler neither stays alone in high school nor has many opportunities to improve their communication skills.",D18,conjunction elimination
358,"U
",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
358,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
358,U,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
359,"F
",,,,,
,,4,"If people are not hardworking individuals with high ambitions and goals for the future, they don't have a lot of commitments they voluntarily signed up for.","If people are not hardworking individuals with high ambitions and goals for the future, they do not invest in a career in which they are willing to spend the rest of their lives.",D1,transposition
,,"1,2",Everyone who has a lot of freetime also has a flexible schedule.,Everyone with a lot of free time has flexible schedules.,D2,hypothetical syllogism
,,"D2,3","If people are not hardworking individuals with high ambitions and goals for the future, they have a lot of free time.","If people are not hardworking individuals with high ambitions and goals for the future, they have a lot of free time.",D3,hypothetical syllogism
,,"D2,D3","If people are not hardworking individuals with high ambitions and goals for the future, they have flexible schedules.","If people are not hardworking individuals with high ambitions and goals for the future, they have flexible schedules.",D4,universal instantiation
,,"D4,6",John is both a hardworking individual with high ambitions and goals for the future and has a flexible schedule.,John is both a hardworking individual with high ambitions and goals for the future and has a flexible schedule.,D5,disjunctive syllogism
,,"D5,5",John is not short sighted.,John is not short sighted.,,universal instantiation and modus ponens
,,,,,,
,,,,,,
,,,,,,
,,,,,,
359,"U
",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
359,T,,,,,
,,4,"If not Hardworking, then not SignedUpForManyCommittments.","If people are not hardworking individuals with high ambitions and goals for the future, they do not invest in a career in which they are willing to spend the rest of their lives.",D1,transposition
,,"3,D1","If not Hardworking, then HasLotsOfFreetime.","If people are not hardworking individuals with high ambitions and goals for the future, they have a lot of free time.",D2,disjunctive syllogism
,,"2,D2","If not Hardworking, then ChooseWhatToDoWithTime.","If people are not hardworking individuals with high ambitions and goals for the future, they choose what they want to do with their time.",D3,modus ponens
,,"1, D3",,"If people are not hardworking individuals with high ambitions and goals for the future, they have flexible schedules.",D4,modus ponens
,,"6,D4",,John is a hardworking individual with high ambitions and goals for the future and chooses what they want to do with their time.,D5,universal instantiation
,,D5,,John is a hardworking individual with high ambitions and goals for the future.,D6,conjunction elimination
,,"5, D6",,John is not short sighted.,D7,modus ponens
,,"D6, D7",,John is a hardworking individual with high ambitions and goals for the future and is not short sighted.,D8,conjunction introduction
,,,,,,
,,,,,,
360,"U
",,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
360,"T
",,,,,
,,4,,Nobody both has workouts that focus on building muscle and is inactive.,D1,IMPAND1
,,"D1, 6",,Lily neither has workouts focused on building muscle nor is active.,D2,disjunctive syllogism
,,D2,,Lily's workouts do not focus on building muscle.,D3,conjunction elimination
,,5,,"If someone's workouts do not focus on building muscle, they do not prefer weightlifting.",D4,transposition
,,"D4, 2",,"If someone's workouts do not focus on building muscle, they prefer running.",D5,disjunctive syllogism
,,"D5, 3",,"If someone's workouts do not focus on building muscle, then their workouts focus on endurance.",D6,hypothetical syllogism
,,"D3, D6",,Lily's workouts focus on endurance.,D7,universal instantiation and modus ponens
,,D7,,Lily has workouts focused on endurance or eats protein bars at least twice a day.,D8,disjunction introduction
,,,,,,
,,,,,,
360,F,,,,,
,,4,,Nobody both has workouts that focus on building muscle and is inactive.,D1,IMPAND1
,,"D1, 6",,Lily neither has workouts focused on building muscle nor is active.,D2,disjunctive syllogism
,,D2,,Lily's workouts do not focus on building muscle.,D3,conjunction elimination
,,5,,"If someone's workouts do not focus on building muscle, they do not prefer weightlifting.",D4,transposition
,,"D4, 2",,"If someone's workouts do not focus on building muscle, they prefer running.",D5,disjunctive syllogism
,,"D3, D5",,Lily prefers running.,D6,universal instantiation and modus ponens
